iter	Passed	Remaining
0	154	154646
1	155	77640
2	156	51978
3	157	39127
4	157	31409
5	158	26304
6	159	22627
7	160	19870
8	161	17743
9	161	16021
10	162	14627
11	163	13450
12	164	12452
13	164	11599
14	165	10879
15	166	10231
16	167	9659
17	167	9148
18	168	8694
19	169	8285
20	169	7916
21	170	7582
22	171	7275
23	171	6991
24	172	6731
25	173	6491
26	174	6272
27	174	6064
28	175	5871
29	176	5691
30	176	5523
31	177	5364
32	177	5214
33	178	5074
34	179	4941
35	180	4820
36	180	4709
37	181	4598
38	182	4492
39	183	4392
40	183	4294
41	184	4206
42	185	4125
43	186	4044
44	186	3964
45	187	3890
46	188	3820
47	189	3748
48	189	3683
49	190	3620
50	191	3557
51	191	3497
52	192	3439
53	193	3382
54	193	3328
55	194	3276
56	195	3229
57	196	3183
58	196	3136
59	197	3091
60	198	3048
61	198	3005
62	199	2964
63	199	2924
64	200	2885
65	201	2848
66	201	2811
67	202	2776
68	203	2743
69	203	2709
70	204	2677
71	205	2645
72	205	2615
73	206	2585
74	207	2555
75	207	2528
76	208	2501
77	209	2475
78	210	2450
79	211	2426
80	211	2401
81	212	2376
82	212	2349
83	213	2325
84	213	2303
85	214	2280
86	215	2258
87	215	2236
88	216	2215
89	217	2194
90	217	2174
91	218	2154
92	218	2135
93	219	2116
94	220	2097
95	220	2078
96	221	2061
97	222	2044
98	222	2029
99	223	2013
100	224	1996
101	225	1982
102	225	1967
103	226	1953
104	227	1938
105	227	1922
106	228	1907
107	229	1894
108	229	1880
109	230	1865
110	231	1852
111	231	1839
112	232	1825
113	233	1812
114	233	1800
115	234	1788
116	235	1775
117	235	1762
118	236	1750
119	237	1738
120	237	1726
121	238	1713
122	238	1702
123	239	1691
124	240	1681
125	241	1672
126	241	1660
127	242	1649
128	242	1639
129	243	1629
130	244	1619
131	244	1609
132	245	1599
133	246	1589
134	246	1581
135	247	1572
136	248	1562
137	248	1553
138	249	1544
139	249	1535
140	250	1526
141	251	1516
142	251	1508
143	252	1500
144	253	1492
145	253	1483
146	254	1476
147	255	1468
148	255	1461
149	256	1453
150	257	1446
151	257	1438
152	258	1430
153	259	1423
154	259	1415
155	260	1408
156	260	1400
157	261	1393
158	262	1386
159	262	1380
160	263	1372
161	263	1365
162	264	1358
163	265	1351
164	265	1345
165	266	1339
166	267	1332
167	267	1326
168	268	1320
169	269	1314
170	269	1308
171	270	1303
172	271	1297
173	272	1291
174	272	1286
175	273	1280
176	274	1274
177	274	1268
178	275	1263
179	276	1257
180	276	1252
181	277	1247
182	278	1241
183	278	1236
184	279	1230
185	280	1226
186	280	1221
187	281	1215
188	282	1210
189	282	1205
190	283	1200
191	284	1196
192	284	1191
193	285	1187
194	286	1182
195	287	1177
196	287	1172
197	288	1167
198	288	1162
199	289	1158
200	290	1153
201	290	1148
202	291	1144
203	292	1139
204	292	1135
205	293	1130
206	294	1126
207	294	1122
208	295	1117
209	295	1113
210	296	1109
211	297	1104
212	297	1101
213	298	1097
214	299	1093
215	300	1091
216	301	1088
217	302	1084
218	302	1080
219	303	1076
220	304	1072
221	304	1068
222	305	1064
223	306	1061
224	306	1057
225	307	1053
226	308	1049
227	308	1045
228	309	1042
229	310	1038
230	310	1034
231	311	1031
232	312	1027
233	312	1023
234	313	1020
235	314	1016
236	314	1013
237	315	1010
238	316	1007
239	316	1003
240	317	1000
241	318	996
242	318	993
243	319	989
244	320	986
245	320	983
246	321	980
247	322	977
248	322	973
249	323	970
250	324	967
251	324	964
252	325	961
253	326	958
254	327	955
255	327	952
256	328	949
257	329	946
258	330	944
259	330	942
260	331	938
261	332	935
262	332	932
263	333	929
264	334	926
265	334	923
266	335	921
267	336	918
268	336	915
269	337	912
270	338	909
271	338	906
272	339	904
273	340	901
274	340	898
275	341	895
276	342	892
277	342	890
278	343	887
279	344	884
280	344	882
281	345	880
282	346	878
283	347	875
284	347	872
285	348	870
286	349	867
287	349	864
288	350	862
289	351	859
290	351	857
291	352	854
292	353	852
293	353	849
294	354	846
295	355	844
296	355	841
297	356	839
298	356	836
299	357	834
300	358	831
301	358	829
302	359	827
303	360	825
304	361	823
305	362	821
306	362	818
307	363	816
308	363	813
309	364	811
310	365	809
311	365	806
312	366	804
313	367	802
314	368	800
315	368	798
316	369	796
317	370	794
318	371	792
319	371	789
320	372	787
321	372	785
322	373	783
323	374	781
324	374	778
325	375	776
326	376	774
327	377	772
328	377	770
329	378	767
330	378	765
331	379	763
332	380	761
333	380	759
334	381	757
335	382	755
336	382	753
337	383	751
338	384	749
339	384	747
340	385	745
341	386	743
342	386	740
343	387	738
344	388	736
345	388	734
346	389	733
347	390	731
348	391	729
349	391	727
350	392	725
351	393	723
352	393	721
353	394	719
354	395	717
355	395	715
356	396	714
357	397	712
358	397	710
359	398	708
360	399	706
361	399	704
362	400	702
363	401	700
364	401	698
365	402	697
366	403	695
367	403	693
368	404	691
369	405	690
370	406	688
371	406	686
372	407	685
373	408	683
374	408	681
375	409	679
376	410	677
377	410	676
378	411	674
379	412	672
380	413	671
381	413	669
382	414	667
383	415	666
384	415	664
385	416	662
386	417	660
387	417	659
388	418	657
